110112105,张家湾镇,张家湾
110112106,漷县镇,漷县
110112109,马驹桥镇,马驹桥
110112110,西集镇,西集
110112114,台湖镇,台湖
110112117,永乐店镇,永乐店
110112119,潞城镇,潞城
110112209,于家务回族乡,于家务回族
110113001,胜利街道,胜利
110113002,光明街道,光明
110113003,仁和地区,仁和地区
110113004,后沙峪地区,后沙峪地区
110113005,天竺地区,天竺地区
110113006,杨镇地区,杨地区
110113007,牛栏山地区,牛栏山地区
110113008,南法信地区,南法信地区
110113009,马坡地区,马坡地区
110113010,石园街道,石园
110113011,空港街道,空港
110113012,双丰街道,双丰
110113013,旺泉街道,旺泉
110113101,高丽营镇,高丽营
110113104,李桥镇,李桥
110113105,李遂镇,李遂
110113106,南彩镇,南彩
110113108,北务镇,北务
110113109,大孙各庄镇,大孙各庄
110113110,张镇,张
110113111,龙湾屯镇,龙湾屯
110113112,木林镇,木林
110113113,北小营镇,北小营
110113115,北石槽镇,北石槽
110113116,赵全营镇,赵全营
110114001,城北街道,城北
110114002,南口地区,南口地区
110114003,马池口地区,马池口地区
110114004,沙河地区,沙河地区
110114005,城南街道,城南
110114007,东小口地区,东小口地区
110114008,天通苑北街道,天通苑北
110114009,天通苑南街道,天通苑南
110114010,霍营街道,霍营
110114011,回龙观街道,回龙观
110114012,龙泽园街道,龙泽园
110114013,史各庄街道,史各庄
110114104,阳坊镇,阳坊
110114110,小汤山镇,小汤山
110114111,南邵镇,南邵
110114112,崔村镇,崔村
110114113,百善镇,百善
110114115,北七家镇,北七家
110114116,兴寿镇,兴寿
110114118,流村镇,流村
110114119,十三陵镇,十三陵
110114120,延寿镇,延寿
110115001,兴丰街道,兴丰
110115002,林校路街道,林校路
110115003,清源街道,清源
110115004,亦庄地区,亦庄地区
110115005,黄村地区,黄村地区
110115006,旧宫地区,旧宫地区
110115007,西红门地区,西红门地区
110115008,瀛海地区,瀛海地区
110115009,观音寺街道,观音寺
110115010,天宫院街道,天宫院
110115011,高米店街道,高米店
110115012,荣华街道,荣华
110115013,博兴街道,博兴
110115103,青云店镇,青云店
110115104,采育镇,采育
110115105,安定镇,安定
110115106,礼贤镇,礼贤
110115107,榆垡镇,榆垡
110115108,庞各庄镇,庞各庄
110115109,北臧村镇,北臧村
110115110,魏善庄镇,魏善庄
110115111,长子营镇,长子营
110115403,北京经济技术开发区,北京经济技术开发区
110115404,中关村国家自主创新示范区大兴生物医药产业基地,中关村国家自主创新示范区大兴生物医药产业基地
